ID #,Co,Name,Recipes,AvgPct,Rating
ATF-00000,XXX,Not Found,0,0,
ATF-00001,BCF,Baja,4,5.00%,5(1 review)
ATF-00002,BCF,Blue Raspberry,1,0.00%,4(1 review)
ATF-00003,BCF,Blueberry,3,5.50%,4(1 review)
ATF-00004,BCF,Candy Cane,3,5.50%,4(1 review)
ATF-00005,BCF,Cherry,0,0.00%,2(1 review)
ATF-00006,BCF,Coffee Candy,1,0.00%,
ATF-00007,BCF,Grape Slush,6,2.70%,5(1 review)
ATF-00008,BCF,Mango,1,0.00%,5(1 review)
ATF-00009,BCF,Peach,1,0.00%,
ATF-00010,BCF,Rich Vanilla,7,2.36%,5(1 review)
ATF-00011,BCF,Root Beer,1,0.00%,5(1 review)
ATF-00012,BCF,Strawberry,2,3.50%,5(1 review)
ATF-00013,CAP,27 Bears,1317,3.91%,
ATF-00014,CAP,27 Fish,754,4.04%,
ATF-00015,CAP,4U Blend,47,2.54%,
ATF-00016,CAP,Acai,107,2.51%,
ATF-00017,CAP,Amaretto,32,3.62%,
ATF-00018,CAP,Anise,25,2.46%,
ATF-00019,CAP,Apple Pie,338,3.19%,
ATF-00020,CAP,Apple Pie V2,147,4.51%,
ATF-00021,CAP,Apple Snacks,280,4.57%,
ATF-00022,CAP,Apricot,179,3.74%,
ATF-00023,CAP,Bacon,7,5.28%,
ATF-00024,CAP,Banana,277,3.28%,
ATF-00025,CAP,Banana Split,90,3.39%,
ATF-00026,CAP,Bavarian Cream,1194,2.00%,
ATF-00027,CAP,Berry Blend,30,3.70%,
ATF-00028,CAP,Berry Cooler,58,5.34%,
ATF-00029,CAP,Berrylicious,32,2.88%,
ATF-00030,CAP,Biscuit,293,2.13%,
ATF-00031,CAP,Black Currant,110,2.91%,
ATF-00032,CAP,Blackberry,522,2.84%,
ATF-00033,CAP,Blue Raspberry Cotton Candy,1277,3.11%,
ATF-00034,CAP,Blueberry,529,3.76%,
ATF-00035,CAP,Blueberry Cinnamon Crumble,92,3.79%,
ATF-00036,CAP,Blueberry Extra,230,3.19%,
ATF-00037,CAP,Blueberry Jam,1592,3.10%,
ATF-00038,CAP,Blueberry Pomegranate With Stevia,67,2.76%,
ATF-00039,CAP,Bold Tobacco,21,2.39%,
ATF-00040,CAP,Boston Cream Pie,15,2.57%,
ATF-00041,CAP,Boston Cream Pie V2,48,4.38%,
ATF-00042,CAP,Bubble Gum,555,4.24%,
ATF-00043,CAP,Burley Blend,1,10.00%,
ATF-00044,CAP,Butter Cream,5728,1.33%,
ATF-00045,CAP,Butter Pecan,259,2.72%,
ATF-00046,CAP,Cake Batter,2371,1.61%,
