Vendor-ID#,Vendor,Company,Flavor Name,ATF-ID#
V-0001,Bull City,BCF,Baja,ATF-00001
V-0002,Bull City,BCF,Blue Raspberry,ATF-00002
V-0003,Bull City,BCF,Blueberry,ATF-00003
V-0004,Bull City,BCF,Candy Cane,ATF-00004
V-0005,Bull City,BCF,Cherry,ATF-00005
V-0006,Bull City,BCF,Coffee Candy,ATF-00006
V-0007,Bull City,BCF,Grape Slush,ATF-00007
V-0008,Bull City,BCF,Mango,ATF-00008
V-0009,Bull City,BCF,Peach,ATF-00009
V-0010,Bull City,BCF,Rich Vanilla,ATF-00010
V-0011,Bull City,BCF,Root Beer,ATF-00011
V-0012,Bull City,BCF,Strawberry,ATF-00012
V-0013,DIY eJuice,CAP,27 Bears,ATF-00013
V-0014,DIY eJuice,CAP,27 Fish,ATF-00014
V-0015,Bull City,CAP,4U Blend,ATF-00015
V-0016,Nomz,CAP,4U Blend,ATF-00015
V-0017,DIY eJuice,CAP,Acai,ATF-00016
V-0018,Bull City,CAP,Apple Pie,ATF-00019
V-0019,DIY eJuice,CAP,Apple Pie,ATF-00019
V-0020,Bull City,CAP,Apple Pie V2,ATF-00020
V-0021,DIY eJuice,CAP,Apple Pie V2,ATF-00020
V-0022,Nomz,CAP,Apple Pie v2,ATF-00020
V-0023,DIY eJuice,CAP,Apple Snacks,ATF-00021
V-0024,Bull City,CAP,Apricot,ATF-00022
V-0025,DIY eJuice,CAP,Apricot,ATF-00022
V-0026,Bull City,CAP,Banana,ATF-00024
V-0027,DIY eJuice,CAP,Banana,ATF-00024
V-0028,Bull City,CAP,Banana Split,ATF-00025
V-0029,DIY eJuice,CAP,Banana Split,ATF-00025
V-0030,Bull City,CAP,Bavarian Cream,ATF-00026
V-0031,DIY eJuice,CAP,Bavarian Cream,ATF-00026
V-0032,DIY eJuice,CAP,Berry Blend,ATF-00027
V-0033,Bull City,CAP,Berry Cooler,ATF-00028
V-0034,DIY eJuice,CAP,Berry Cooler,ATF-00028
V-0035,Bull City,CAP,Berrylicious,ATF-00029
V-0036,DIY eJuice,CAP,Biscuit,ATF-00030
V-0037,DIY eJuice,CAP,Black Currant,ATF-00031
V-0038,Bull City,CAP,Blackberry,ATF-00032
V-0039,DIY eJuice,CAP,Blackberry,ATF-00032
V-0040,Nomz,CAP,Blackberry,ATF-00032
V-0041,Bull City,CAP,Blue Raspberry Cotton Candy,ATF-00033
V-0042,DIY eJuice,CAP,Blue Raspberry Cotton Candy,ATF-00033
V-0043,Bull City,CAP,Blueberry,ATF-00034
V-0044,DIY eJuice,CAP,Blueberry,ATF-00034
V-0045,Bull City,CAP,Blueberry Cinnamon Crumble,ATF-00035
V-0046,DIY eJuice,CAP,Blueberry Cinnamon Crumble,ATF-00035
V-0047,DIY eJuice,CAP,Blueberry Extra,ATF-00036
V-0048,Bull City,CAP,Blueberry Jam,ATF-00037
V-0049,DIY eJuice,CAP,Blueberry Jam,ATF-00037
V-0050,Nomz,CAP,Blueberry Jam,ATF-00037
V-0051,DIY eJuice,CAP,Blueberry Pomegranate with Stevia,ATF-00038
V-0052,DIY eJuice,CAP,Boston Cream Pie V2,ATF-00041
V-0053,Bull City,CAP,Bubble Gum,ATF-00042
V-0054,DIY eJuice,CAP,Bubblegum,ATF-00042
V-0055,DIY eJuice,CAP,Burley Blend,ATF-00043
V-0056,Bull City,CAP,Butter Cream,ATF-00044
V-0057,DIY eJuice,CAP,Butter Cream,ATF-00044
V-0058,DIY eJuice,CAP,Butter Pecan,ATF-00045
V-0059,Nomz,CAP,Buttercream,ATF-00044
V-0060,Bull City,CAP,Cake Batter,ATF-00046
V-0061,DIY eJuice,CAP,Cake Batter,ATF-00046
V-0062,Nomz,CAP,Cake Batter,ATF-00046
V-0063,DIY eJuice,CAP,Cake Batter V2,ATF-00047
V-0064,Bull City,CAP,Candied Mango,ATF-00048
V-0065,Nomz,CAP,Candied Mango,ATF-00048
V-0066,DIY eJuice,CAP,Candied Watermelon,ATF-00049
V-0067,Bull City,CAP,Cantaloupe,ATF-00050
V-0068,DIY eJuice,CAP,Cantaloupe,ATF-00050
V-0069,Nomz,CAP,Cantaloupe,ATF-00050
V-0070,DIY eJuice,CAP,Cantaloupe V2,ATF-00000
V-0071,Bull City,CAP,Cappuccino V2,ATF-00052
V-0072,DIY eJuice,CAP,Cappuccino V2,ATF-00052
V-0073,Bull City,CAP,Caramel,ATF-00053
V-0074,DIY eJuice,CAP,Caramel,ATF-00053
V-0075,Bull City,CAP,Caramel V2,ATF-00054
V-0076,DIY eJuice,CAP,Caramel V2,ATF-00054
V-0077,Bull City,CAP,Cereal 27,ATF-00055
V-0078,DIY eJuice,CAP,Cereal 27,ATF-00055
V-0079,Nomz,CAP,Cereal 27,ATF-00055
V-0080,DIY eJuice,CAP,Chai Tea,ATF-00056
V-0081,DIY eJuice,CAP,Cherry Cola RF,ATF-00058
V-0082,DIY eJuice,CAP,Cherry Cola RF V2,ATF-00000
V-0083,DIY eJuice,CAP,Chocolate Fudge Brownie V2,ATF-00062
V-0084,DIY eJuice,CAP,Chocolate Fudge Brownie V3,ATF-00063
V-0085,Bull City,CAP,Chocolate Glazed Doughnut,ATF-00064
V-0086,DIY eJuice,CAP,Chocolate Glazed Doughnut,ATF-00064
V-0087,Bull City,CAP,Churro,ATF-00066
V-0088,DIY eJuice,CAP,Churro,ATF-00066
V-0089,Bull City,CAP,Cinnamon Danish Swirl,ATF-00068
V-0090,DIY eJuice,CAP,Cinnamon Danish Swirl,ATF-00068
V-0091,Nomz,CAP,Cinnamon Danish Swirl,ATF-00068
V-0092,Bull City,CAP,Cinnamon Danish Swirl V2,ATF-00069
V-0093,DIY eJuice,CAP,Cinnamon Danish Swirl V2,ATF-00069
V-0094,Nomz,CAP,Cinnamon Danish Swirl v2,ATF-00069
V-0095,DIY eJuice,CAP,Cinnamon Sugar,ATF-00070
V-0096,Bull City,CAP,Coconut,ATF-00071
V-0097,DIY eJuice,CAP,Coconut,ATF-00071
V-0098,Bull City,CAP,Cola,ATF-00000
V-0099,DIY eJuice,CAP,Cola,ATF-00000
V-0100,DIY eJuice,CAP,Cola V2,ATF-00073
V-0101,Bull City,CAP,Concord Grape W/Stevia,ATF-00074
V-0102,DIY eJuice,CAP,Concord Grape w/Stevia,ATF-00074
V-0103,Nomz,CAP,Concord Grape with Stevia,ATF-00074
V-0104,Bull City,CAP,Cookie Crumble,ATF-00075
V-0105,Nomz,CAP,Cookie Crumble,ATF-00075
